Code,Code_Number,Description,Code_Family,Analytical_Domain,Analytical_Category,Analytical_Subcategory,Primary_Entity,Dashboard_Group,Traffic_Relevance_Score,Traffic_Relevance_Band,Keep_in_Main_Collision_Dashboard,Modeling_Role,Recommended_Use,Flag_Traffic_Core,Flag_Vehicle_or_RoadUser,Flag_Person_Profile,Flag_Location_Infrastructure,Flag_Behavior_Tactic,Flag_Severity_Harm,Flag_Jurisdiction_Admin
110,110,Involved in traffic/accident,100s,Approach / Pretext,Approach Strategy,Traffic-accident pretext,Suspect,Traffic supporting context,3,3 - Useful enrichment,Optional,Context enrichment feature,"Use only when present to enrich narrative, edge-case, or segmented analysis.",0,1,1,0,1,0,0
112,112,Police,100s,Approach / Pretext,Approach Strategy,Authority / service-role pretext,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
113,113,Renting,100s,Approach / Pretext,Approach Strategy,Identity / role impersonation,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
114,114,Repair Person,100s,Approach / Pretext,Approach Strategy,Authority / service-role pretext,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
115,115,Returning stolen property,100s,Approach / Pretext,Approach Strategy,Helpful / familiar-contact pretext,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
116,116,Satan,100s,Approach / Pretext,Approach Strategy,Identity / role impersonation,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
117,117,Salesman,100s,Approach / Pretext,Approach Strategy,Identity / role impersonation,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
118,118,Seeking someone,100s,Approach / Pretext,Approach Strategy,Helpful / familiar-contact pretext,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
119,119,Sent by owner,100s,Approach / Pretext,Approach Strategy,Helpful / familiar-contact pretext,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
120,120,Social Security / Medicare,100s,Approach / Pretext,Approach Strategy,Authority / service-role pretext,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
121,121,DWP / Gas Company / Utility worker,100s,Approach / Pretext,Approach Strategy,Authority / service-role pretext,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
122,122,Contractor,100s,Approach / Pretext,Approach Strategy,Authority / service-role pretext,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
123,123,Gardener / Tree Trimmer,100s,Approach / Pretext,Approach Strategy,Authority / service-role pretext,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,1,0,1,0,0
200,200,Suspect wore disguise,200s,Appearance / Disguise,Disguise and Appearance,Clothing / accessory disguise,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
201,201,Bag,200s,Appearance / Disguise,Disguise and Appearance,Clothing / accessory disguise,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
202,202,Cap / hat,200s,Appearance / Disguise,Disguise and Appearance,Clothing / accessory disguise,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
203,203,Cloth (with eyeholes),200s,Appearance / Disguise,Disguise and Appearance,Face concealment / altered appearance,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
204,204,Clothes of opposite sex,200s,Appearance / Disguise,Disguise and Appearance,Face concealment / altered appearance,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
205,205,Earring,200s,Appearance / Disguise,Disguise and Appearance,Clothing / accessory disguise,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
206,206,Gloves,200s,Appearance / Disguise,Disguise and Appearance,Clothing / accessory disguise,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
207,207,Handkerchief,200s,Appearance / Disguise,Disguise and Appearance,Clothing / accessory disguise,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
208,208,Halloween mask,200s,Appearance / Disguise,Disguise and Appearance,Face concealment / altered appearance,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
209,209,Mask,200s,Appearance / Disguise,Disguise and Appearance,Face concealment / altered appearance,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
210,210,Make up (males only),200s,Appearance / Disguise,Disguise and Appearance,Face concealment / altered appearance,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
211,211,Shoes,200s,Appearance / Disguise,Disguise and Appearance,Clothing / accessory disguise,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
212,212,Nude / partly nude,200s,Appearance / Disguise,Disguise and Appearance,Clothing / accessory disguise,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
213,213,Ski mask,200s,Appearance / Disguise,Disguise and Appearance,Face concealment / altered appearance,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
214,214,Stocking,200s,Appearance / Disguise,Disguise and Appearance,Face concealment / altered appearance,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
215,215,Unusual clothes,200s,Appearance / Disguise,Disguise and Appearance,Face concealment / altered appearance,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
216,216,Suspect wore hood / hoodie,200s,Appearance / Disguise,Disguise and Appearance,Face concealment / altered appearance,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
217,217,Uniform,200s,Appearance / Disguise,Disguise and Appearance,Occupational or tactical appearance,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
218,218,Wig,200s,Appearance / Disguise,Disguise and Appearance,Face concealment / altered appearance,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
219,219,Mustache – Fake,200s,Appearance / Disguise,Disguise and Appearance,Clothing / accessory disguise,Suspect,Narrative enrichment,0,0 - Exclude,No,Exclude from main collision model,Exclude from the core collision mart and keep only in the raw-reference lookup.,0,0,0,0,0,0,0
220,220,Suspect wore motorcycle helmet,200s,Appearance / Disguise,Disguise and Appearance,Occupational or tactical appearance,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,1,0,0,0,0,0
301,301,Escaped on (used) transit train,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,2,2 - Limited,Optional,Niche analysis only,"Keep for special studies, QA checks, or case-specific review rather than the main dashboard.",0,1,0,0,1,0,0
302,302,Aimed gun,300s,Behavior / Tactics,Incident Tactics,Weapon display / firearm tactic,Weapon,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
303,303,Ambushed,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,1,0,0,1,0,0
304,304,Ate / drank on premises,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
305,305,Attacks from rear,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
306,306,Crime on upper floor,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
307,307,Defecated / urinated,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
308,308,Demands jewelry,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
309,309,Drive-by shooting,300s,Behavior / Tactics,Incident Tactics,Weapon display / firearm tactic,Weapon,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
310,310,Got victim to withdraw savings,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
311,311,Graffiti,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
312,312,Gun in waistband,300s,Behavior / Tactics,Incident Tactics,Weapon display / firearm tactic,Weapon,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
313,313,Hid in building,300s,Behavior / Tactics,Incident Tactics,Entry / control / movement tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
314,314,Hot Prowl,300s,Behavior / Tactics,Incident Tactics,Entry / control / movement tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
315,315,Jumped counter / goes behind counter,300s,Behavior / Tactics,Incident Tactics,Entry / control / movement tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
316,316,Makes victim give money,300s,Behavior / Tactics,Incident Tactics,Property-taking tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
317,317,Pillowcase / suitcase,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
318,318,Prepared exit,300s,Behavior / Tactics,Incident Tactics,Operational support / accomplice coordination,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
319,319,Profanity Used,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
320,320,"Quiet, polite",300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
321,321,Ransacked,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
322,322,Smashed display case,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
323,323,Smoked on premises,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
324,324,Takes money from register,300s,Behavior / Tactics,Incident Tactics,Property-taking tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
325,325,Took merchandise,300s,Behavior / Tactics,Incident Tactics,Property-taking tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
326,326,Used driver,300s,Behavior / Tactics,Incident Tactics,Operational support / accomplice coordination,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,1,0,0,1,0,0
327,327,Used lookout,300s,Behavior / Tactics,Incident Tactics,Operational support / accomplice coordination,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
328,328,Used toilet,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
329,329,Vandalized,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
330,330,Victim’s vehicle taken,300s,Behavior / Tactics,Incident Tactics,Vehicle-related tactic,Suspect,Vehicle-related context,2,2 - Limited,Optional,Niche analysis only,"Keep for special studies, QA checks, or case-specific review rather than the main dashboard.",0,1,0,0,1,0,0
331,331,Mailbox Bombing,300s,Behavior / Tactics,Incident Tactics,Property-taking tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
332,332,Mailbox Vandalism,300s,Behavior / Tactics,Incident Tactics,Property-taking tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
333,333,Used hand-held radios,300s,Behavior / Tactics,Incident Tactics,Operational support / accomplice coordination,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
334,334,Brandishes weapon,300s,Behavior / Tactics,Incident Tactics,Weapon display / firearm tactic,Weapon,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
335,335,Cases location,300s,Behavior / Tactics,Incident Tactics,Targeting / intimidation / gang signaling,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
336,336,Chain snatch,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
337,337,Demands money,300s,Behavior / Tactics,Incident Tactics,Property-taking tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
338,338,Disables telephone,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
339,339,Disables video camera,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
340,340,Suspect follows victim / follows victim home,300s,Behavior / Tactics,Incident Tactics,Targeting / intimidation / gang signaling,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
341,341,Makes victim lie down,300s,Behavior / Tactics,Incident Tactics,Entry / control / movement tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
342,342,Multiple suspects overwhelm victim,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
343,343,Orders victim to rear room,300s,Behavior / Tactics,Incident Tactics,Entry / control / movement tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
344,344,Removes victim property,300s,Behavior / Tactics,Incident Tactics,Property-taking tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
345,345,Riding bike,300s,Behavior / Tactics,Incident Tactics,Vehicle-related tactic,Suspect,Vehicle-related context,2,2 - Limited,Optional,Niche analysis only,"Keep for special studies, QA checks, or case-specific review rather than the main dashboard.",0,1,0,0,1,0,0
346,346,Snatch property and runs,300s,Behavior / Tactics,Incident Tactics,Property-taking tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
347,347,Stalks victim,300s,Behavior / Tactics,Incident Tactics,Targeting / intimidation / gang signaling,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
348,348,Takeover other,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
349,349,Takes mail,300s,Behavior / Tactics,Incident Tactics,Property-taking tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
350,350,Concealed victim's body,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
351,351,Disabled security,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
352,352,Took victim's clothing or jewelry,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
353,353,Weapon concealed,300s,Behavior / Tactics,Incident Tactics,Weapon display / firearm tactic,Weapon,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
354,354,Suspect takes car keys,300s,Behavior / Tactics,Incident Tactics,Property-taking tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
355,355,Demanded property other than money,300s,Behavior / Tactics,Incident Tactics,Property-taking tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
356,356,Suspect spits on victim,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
357,357,Cuts or breaks purse strap,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
358,358,Forces entry,300s,Behavior / Tactics,Incident Tactics,Entry / control / movement tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
359,359,Made unusual statement,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
360,360,Suspect is other family member,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
361,361,Suspect is neighbor,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
362,362,Suspect attempts to carry victim away,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
363,363,Home invasion,300s,Behavior / Tactics,Incident Tactics,Entry / control / movement tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
364,364,Suspect is babysitter,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
365,365,Takeover robbery,300s,Behavior / Tactics,Incident Tactics,General incident behavior,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
366,366,Ordered victim to open safe,300s,Behavior / Tactics,Incident Tactics,Property-taking tactic,Suspect,Narrative enrichment,1,1 - Peripheral,No,Usually exclude from main dashboard,Do not prioritize in the star schema; retain only if narrative-level review matters.,0,0,0,0,1,0,0
